Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
5504,"40,554","43,663",68,"13,729",,"16,472",76,"10,489","1,306","10,127",,"35,736"
5505,"128,823","8,865","2,855","58,673",849,"5,398","1,224","44,984","2,266","32,266",42,"56,959"
5506,"2,412",305,,"1,509",,360,,872,,858,,"2,682"
5507,"31,036","19,654",,"23,847",,541,,"13,824",,"5,633",,"41,803"
5508,"3,443",302,42,"2,703",,"2,778",,496,,153,90,"1,298"
5509,"31,446",776,766,"10,290",,481,189,"14,709",100,"1,799",,"17,013"
5510,"21,774","1,070",380,"6,315",,283,,"6,944",,"1,236",,"15,614"
5511,"15,679",315,315,"3,370",31,649,410,"4,343",186,"1,804",,"14,353"
5512,"11,803",214,58,"5,467",,382,,"4,024",270,"1,937",,"8,636"
5513,"25,838",233,635,"12,721",,293,,"13,662",,"5,088",,"18,878"
5514,"303,913","30,993","19,149","89,621","6,539","29,769","5,765","112,229","15,638","45,381","2,049","238,467"
5515,"9,834","7,965",,"4,162",,532,81,"3,736",74,"2,299",,"9,321"
5516,"4,586",368,,"2,481",,58,,"3,825",,262,,"2,175"
5517,"43,415","1,569",827,"17,468",,862,840,"19,602",23,"10,329",,"35,769"
5518,"8,202",748,309,"4,225",,140,,"3,309",788,475,31,"5,937"
5519,"21,776",549,28,"7,787",,148,,"12,461",,"1,138",,"13,624"
5520,"35,976","2,778",853,"16,797",,890,,"9,860","2,672","2,749",45,"18,101"
5521,"9,746",233,604,"4,979",,456,,"5,734",,"1,014",,"13,040"
5522,"10,511",193,54,"2,767",,121,53,"5,703",,843,,"7,588"
5524,"91,715","23,906","2,325","95,902","1,027","6,222",919,"28,711","7,499","14,677",585,"57,499"
5525,"15,889","50,331",,"16,772",,"1,623",746,"3,076","1,913","4,613",180,"20,162"
5526,"83,361","1,400","3,717","14,624","3,091","2,113",367,"17,566","3,739","11,085",976,"46,778"
